state,poll,start_date,end_date,clinton,trump,spread
florida,Final Results,NA,NA,47.4,48.6,Trump +1.2
florida,RCP Average,2020-10-27,2020-11-06,46.4,46.6,Trump +0.2
florida,Trafalgar Group (R)Trafalgar,2020-11-06,2020-11-06,46,50,Trump +4
florida,Opinion SavvyOpinion Savvy,2020-11-05,2020-11-06,48,46,Clinton +2
florida,QuinnipiacQuinnipiac,2020-11-03,2020-11-06,46,45,Clinton +1
florida,CBS News/YouGovCBS News,2020-11-02,2020-11-04,45,45,Tie
florida,Remington Research (R)*Remington (R)*,2020-11-01,2020-11-02,45,48,Trump +3
florida,GravisGravis,2020-11-01,2020-11-02,46,45,Clinton +1
florida,CNN/ORCCNN/ORC,2020-10-27,2020-11-01,49,47,Clinton +2
pennsylvania,Final Results,NA,NA,47.5,48.2,Trump +0.7
pennsylvania,RCP Average,2020-10-29,2020-11-05,46.2,44.3,Clinton +1.9
pennsylvania,Trafalgar Group (R)Trafalgar,2020-11-03,2020-11-05,47,48,Trump +1
pennsylvania,Morning CallMorning Call,2020-10-30,2020-11-04,44,40,Clinton +4
pennsylvania,Harper (R)Harper (R),2020-11-02,2020-11-03,46,46,Tie
pennsylvania,GravisGravis,2020-11-01,2020-11-02,47,45,Clinton +2
pennsylvania,SusquehannaSusquehanna,2020-10-31,2020-11-01,45,43,Clinton +2
pennsylvania,MonmouthMonmouth,2020-10-29,2020-11-01,48,44,Clinton +4
wisconsin,Final Results,NA,NA,46.5,47.2,Trump +0.7
wisconsin,RCP Average,2020-10-26,2020-11-02,46.8,40.3,Clinton +6.5
wisconsin,Remington Research (R)*Remington (R)*,2020-11-01,2020-11-02,49,41,Clinton +8
wisconsin,LorasLoras,2020-10-31,2020-11-01,44,38,Clinton +6
wisconsin,MarquetteMarquette,2020-10-26,2020-10-31,46,40,Clinton +6
wisconsin,EmersonEmerson,2020-10-26,2020-10-27,48,42,Clinton +6
north_carolina,Final Results,NA,NA,46.2,49.9,Trump +3.7
north_carolina,RCP Average,2020-10-26,2020-11-06,45.5,46.5,Trump +1.0
north_carolina,NY Times/SienaNYT/Siena,2020-11-04,2020-11-06,44,44,Tie
north_carolina,QuinnipiacQuinnipiac,2020-11-03,2020-11-06,47,45,Clinton +2
north_carolina,Gravis*Gravis*,2020-11-01,2020-11-04,46,45,Clinton +1
north_carolina,Trafalgar Group (R)Trafalgar,2020-10-27,2020-11-01,44,49,Trump +5
north_carolina,WRAL-TV/SurveyUSAWRAL-TV,2020-10-28,2020-10-31,44,51,Trump +7
north_carolina,CBS News/YouGovCBS News,2020-10-26,2020-10-28,48,45,Clinton +3
michigan,Final Results,NA,NA,47,47.3,Trump +0.3
michigan,RCP Average,2020-11-01,2020-11-06,45.4,42,Clinton +3.4
michigan,Trafalgar Group (R)Trafalgar,2020-11-06,2020-11-06,47,49,Trump +2
michigan,PPP (D)PPP (D),2020-11-03,2020-11-04,46,41,Clinton +5
michigan,FOX 2 Detroit/MitchellFOX 2,2020-11-03,2020-11-03,46,41,Clinton +5
michigan,GravisGravis,2020-11-01,2020-11-04,46,41,Clinton +5
michigan,Detroit Free PressDetroit Free Press,2020-11-01,2020-11-03,42,38,Clinton +4
ohio,Final Results,NA,NA,43.2,51.3,Trump +8.1
ohio,RCP Average,2020-10-27,2020-11-05,42.3,45.8,Trump +3.5
ohio,EmersonEmerson,2020-11-04,2020-11-05,39,46,Trump +7
ohio,CBS News/YouGovCBS News,2020-11-02,2020-11-04,45,46,Trump +1
ohio,Remington Research (R)*Remington (R)*,2020-11-01,2020-11-02,44,45,Trump +1
ohio,QuinnipiacQuinnipiac,2020-10-27,2020-11-01,41,46,Trump +5
iowa,Final Results,NA,NA,41.7,51.2,Trump +9.5
iowa,RCP Average,2020-11-01,2020-11-04,41.3,44.3,Trump +3.0
iowa,Des Moines RegisterDM Register,2020-11-01,2020-11-04,39,46,Trump +7
iowa,EmersonEmerson,2020-11-01,2020-11-03,41,44,Trump +3
iowa,LorasLoras,2020-11-01,2020-11-03,44,43,Clinton +1
arizona,Final Results,NA,NA,44.6,48.1,Trump +3.5
arizona,RCP Average,2020-10-26,2020-11-01,42.3,46.3,Trump +4.0
arizona,NBC/WSJ/MaristNBC/WSJ,2020-10-30,2020-11-01,40,45,Trump +5
arizona,CNN/ORCCNN/ORC,2020-10-27,2020-11-01,44,49,Trump +5
arizona,EmersonEmerson,2020-10-28,2020-10-31,43,47,Trump +4
arizona,CBS News/YouGovCBS News,2020-10-26,2020-10-28,42,44,Trump +2
nevada,Final Results,NA,NA,47.9,45.5,Clinton +2.4
nevada,RCP Average,2020-10-27,2020-11-06,45,45.8,Trump +0.8
nevada,Emerson*Emerson*,2020-11-04,2020-11-05,47,46,Clinton +1
nevada,Gravis*Gravis*,2020-11-03,2020-11-06,45,43,Clinton +2
nevada,Remington Research (R)Remington (R),2020-11-01,2020-11-02,45,46,Trump +1
nevada,8 News NOW - Las Vegas8 News NOW,2020-10-28,2020-11-01,45,45,Tie
nevada,CNN/ORCCNN/ORC,2020-10-27,2020-11-01,43,49,Trump +6
texas,Final Results,NA,NA,43.2,52.2,Trump +9.0
texas,RCP Average,2020-10-27,2020-11-01,38,50,Trump +12.0
texas,EmersonEmerson,2020-10-31,2020-11-01,35,49,Trump +14
texas,NBC/WSJ/MaristNBC/WSJ,2020-10-30,2020-11-01,40,49,Trump +9
texas,CBS 11/Dixie StrategiesDixie Strategies,2020-10-27,2020-10-29,39,52,Trump +13
georgia,Final Results,NA,NA,45.4,50.5,Trump +5.1
georgia,RCP Average,2020-10-29,2020-11-06,44.4,49.2,Trump +4.8
georgia,Landmark/Rosetta StoneLandmark/Rosetta Stone,2020-11-06,2020-11-06,46,49,Trump +3
georgia,Trafalgar Group (R)*Trafalgar (R)*,2020-11-06,2020-11-06,45,52,Trump +7
georgia,Opinion SavvyOpinion Savvy,2020-11-02,2020-11-03,45,49,Trump +4
georgia,NBC/WSJ/MaristNBC/WSJ,2020-10-30,2020-11-01,44,45,Trump +1
georgia,Emerson*Emerson*,2020-10-29,2020-10-31,42,51,Trump +9
virginia,Final Results,NA,NA,49.8,44.4,Clinton +5.4
virginia,RCP Average,2020-10-27,2020-11-06,47.3,42.3,Clinton +5.0
virginia,Christopher Newport Univ.CNU,2020-11-01,2020-11-06,48,42,Clinton +6
virginia,PPP (D)PPP (D),2020-11-03,2020-11-04,48,43,Clinton +5
virginia,Remington Research (R)*Remington (R)*,2020-11-01,2020-11-02,46,44,Clinton +2
virginia,GravisGravis,2020-11-01,2020-11-02,47,42,Clinton +5
virginia,Roanoke CollegeRoanoke,2020-10-29,2020-11-01,45,38,Clinton +7
virginia,EmersonEmerson,2020-10-28,2020-10-30,49,45,Clinton +4
virginia,Washington PostWash Post,2020-10-27,2020-10-30,48,42,Clinton +6
new_hampshire,Final Results,NA,NA,46.8,46.5,Clinton +0.3
new_hampshire,RCP Average,2020-10-28,2020-11-06,43.3,42.7,Clinton +0.6
new_hampshire,EmersonEmerson,2020-11-04,2020-11-05,45,44,Clinton +1
new_hampshire,WMUR/UNHWMUR/UNH,2020-11-03,2020-11-06,49,38,Clinton +11
new_hampshire,GravisGravis,2020-11-01,2020-11-02,41,43,Trump +2
new_hampshire,Boston Globe/SuffolkSuffolk,2020-10-31,2020-11-02,42,42,Tie
new_hampshire,ARGARG,2020-10-31,2020-11-02,43,48,Trump +5
new_hampshire,UMass Lowell/7NewsUMass Lowell,2020-10-28,2020-11-02,44,44,Tie
new_hampshire,WBUR/MassINCWBUR/MassINC,2020-10-29,2020-11-01,39,40,Trump +1
maine,Final Results,NA,NA,47.8,44.9,Clinton +2.9
maine,RCP Average,2020-10-24,2020-10-30,44,39.5,Clinton +4.5
maine,EmersonEmerson,2020-10-28,2020-10-30,46,42,Clinton +4
maine,MPRC (D)MPRC (D),2020-10-24,2020-10-26,42,37,Clinton +5
colorado,Final Results,NA,NA,48.2,43.3,Clinton +4.9
colorado,RCP Average,2020-10-28,2020-11-04,43.3,40.4,Clinton +2.9
colorado,PPP (D)PPP (D),2020-11-03,2020-11-04,48,43,Clinton +5
colorado,GravisGravis,2020-11-01,2020-11-02,40,40,Tie
colorado,Keating Research (D)Keating Research (D),2020-11-02,2020-11-03,43,38,Clinton +5
colorado,Trafalgar Group (R)Trafalgar,2020-10-31,2020-11-03,45,44,Clinton +1
colorado,Magellan Strategies (R)Magellan,2020-11-01,2020-11-02,44,38,Clinton +6
colorado,University of DenverUniv. of Denver,2020-10-29,2020-10-31,39,39,Tie
colorado,EmersonEmerson,2020-10-28,2020-10-31,44,41,Clinton +3
new_mexico,Final Results,NA,NA,48.3,40,Clinton +8.3
new_mexico,RCP Average,2020-11-01,2020-11-06,45.3,40.3,Clinton +5.0
new_mexico,Zia PollZia Poll,2020-11-06,2020-11-06,46,44,Clinton +2
new_mexico,Albuquerque JournalAlbuquerque Journal,2020-11-01,2020-11-03,45,40,Clinton +5
new_mexico,GravisGravis,2020-11-01,2020-11-02,45,37,Clinton +8
minnesota,Final Results,NA,NA,46.4,44.9,Clinton +1.5
minnesota,KSTP/SurveyUSAKSTP-TV,2020-10-22,2020-10-25,49,39,Clinton +10
minnesota,Star TribuneStar Tribune,2020-10-20,2020-10-22,47,39,Clinton +8
minnesota,GravisGravis,2020-09-23,2020-09-23,43,43,Tie
minnesota,KSTP/SurveyUSAKSTP-TV,2020-09-16,2020-09-20,46,39,Clinton +7
minnesota,Star TribuneStar Tribune,2020-09-12,2020-09-14,44,38,Clinton +6
